,Time_Order_picked,Weatherconditions,Road_traffic_density,Type_of_vehicle,City,City_name,Delivery_person_Age,Delivery_person_Ratings,Multiple_deliveries,Time_taken_min,Distance,Speed,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude
82,1900-01-01 19:40:00,Sunny,Jam,motorcycle,Metropolitian,Allahabad,30.0,4.6,0.0,29.0,21.74,44.98,25.450317,81.831681,25.590317,81.971681
83,1900-01-01 00:00:00,Cloudy,Low,motorcycle,Metropolitian,Allahabad,28.0,4.6,1.0,23.0,21.67,56.53,25.457116,81.859682,25.597116,81.999682
84,1900-01-01 22:20:00,Sandstorms,Low,motorcycle,Metropolitian,Allahabad,38.0,4.7,1.0,29.0,7.8,16.14,25.454697,81.834492,25.504697,81.884492
85,1900-01-01 22:00:00,Windy,Jam,motorcycle,Metropolitian,Aurangabad,35.0,4.3,1.0,35.0,12.57,21.55,19.875337,75.316722,19.955337,75.396722
87,1900-01-01 19:45:00,Windy,Jam,electric_scooter,Metropolitian,Aurangabad,25.0,4.8,1.0,23.0,4.71,12.29,19.875337,75.316722,19.905337,75.346722
88,1900-01-01 11:35:00,Fog,High,motorcycle,Metropolitian,Aurangabad,26.0,4.6,0.0,22.0,1.57,4.28,19.876219,75.346017,19.886219,75.356017
89,1900-01-01 17:50:00,Sandstorms,Medium,scooter,Metropolitian,Aurangabad,25.0,4.9,1.0,29.0,7.86,16.26,19.876219,75.346017,19.926219,75.396017
91,1900-01-01 18:50:00,Windy,Medium,motorcycle,Metropolitian,Aurangabad,26.0,4.6,1.0,25.0,17.29,41.5,19.874733,75.353942,19.984733,75.463942
92,1900-01-01 11:25:00,Fog,High,motorcycle,Urban,Aurangabad,35.0,4.7,0.0,33.0,3.14,5.71,19.874733,75.353942,19.894733,75.373942
93,1900-01-01 18:20:00,Sunny,Medium,scooter,Urban,Aurangabad,36.0,4.9,0.0,19.0,9.43,29.78,19.874733,75.353942,19.934733,75.413942
94,1900-01-01 20:55:00,Cloudy,Jam,motorcycle,Metropolitian,Aurangabad,39.0,4.9,1.0,25.0,9.43,22.63,19.876106,75.340775,19.936106,75.400775
95,1900-01-01 23:35:00,Sandstorms,Low,motorcycle,Metropolitian,Aurangabad,37.0,4.1,1.0,26.0,4.71,10.87,19.875522,75.367127,19.905522,75.397127
96,1900-01-01 21:50:00,Fog,Jam,scooter,Urban,Aurangabad,28.0,4.6,1.0,28.0,9.43,20.21,19.875522,75.367127,19.935522,75.427127
97,1900-01-01 17:25:00,Fog,Medium,motorcycle,Metropolitian,Aurangabad,22.0,4.4,0.0,39.0,17.28,26.58,19.874449,75.360232,19.984449,75.470232
98,1900-01-01 20:30:00,Sandstorms,Jam,motorcycle,Metropolitian,Aurangabad,20.0,5.0,0.0,28.0,14.14,30.3,19.874449,75.360232,19.964449,75.450232
99,1900-01-01 22:05:00,Sunny,Jam,scooter,Metropolitian,Aurangabad,28.0,4.8,1.0,22.0,12.57,34.28,19.875908,75.358888,19.955908,75.438888
100,1900-01-01 00:05:00,Fog,Low,scooter,Urban,Aurangabad,26.0,4.6,0.0,19.0,4.71,14.87,19.875908,75.358888,19.905908,75.388888
101,1900-01-01 23:40:00,Cloudy,Low,motorcycle,Urban,Aurangabad,36.0,4.9,0.0,17.0,7.86,27.74,19.876428,75.364792,19.926428,75.414792
102,1900-01-01 09:20:00,Windy,Low,motorcycle,Urban,Aurangabad,35.0,4.5,0.0,20.0,3.14,9.42,19.876428,75.364792,19.896428,75.384792
103,1900-01-01 09:10:00,Windy,Low,scooter,Urban,Aurangabad,37.0,5.0,1.0,29.0,3.14,6.5,19.876428,75.364792,19.896428,75.384792
104,1900-01-01 21:45:00,Windy,Jam,scooter,Urban,Aurangabad,26.0,4.5,1.0,19.0,9.42,29.75,19.879631,75.323403,19.939631,75.383403
105,1900-01-01 10:20:00,Stormy,Low,motorcycle,Metropolitian,Aurangabad,34.0,4.9,1.0,27.0,1.57,3.49,19.875016,75.322405,19.885016,75.332405
106,1900-01-01 22:45:00,Cloudy,Low,motorcycle,Metropolitian,Aurangabad,28.0,4.5,1.0,28.0,17.28,37.03,19.875016,75.322405,19.985016,75.432405
107,1900-01-01 23:55:00,Cloudy,Low,motorcycle,Metropolitian,Aurangabad,21.0,5.0,1.0,20.0,12.57,37.71,19.875016,75.322405,19.955016,75.402405
108,1900-01-01 22:45:00,Windy,Low,motorcycle,Urban,Aurangabad,28.0,5.0,0.0,15.0,14.14,56.56,19.875016,75.322405,19.965016,75.412405
109,1900-01-01 19:15:00,Cloudy,Jam,electric_scooter,Metropolitian,Aurangabad,33.0,4.3,0.0,41.0,20.43,29.9,19.878028,75.317475,20.008028,75.447475
110,1900-01-01 19:05:00,Cloudy,Medium,scooter,Urban,Aurangabad,27.0,4.4,1.0,31.0,12.57,24.33,19.878028,75.317475,19.958028,75.397475
111,1900-01-01 23:05:00,Sandstorms,Low,motorcycle,Metropolitian,Aurangabad,21.0,4.4,1.0,27.0,4.71,10.47,19.878028,75.317475,19.908028,75.347475
114,1900-01-01 20:15:00,Stormy,Jam,scooter,Metropolitian,Aurangabad,34.0,4.6,0.7592242194891201,28.0,11.0,23.57,19.876994,75.372353,19.946994,75.442353
116,1900-01-01 19:35:00,Windy,Jam,motorcycle,Metropolitian,Aurangabad,31.0,4.8,1.0,47.0,7.86,10.03,19.876994,75.372353,19.926994,75.422353
117,1900-01-01 23:35:00,Cloudy,Low,scooter,Metropolitian,Aurangabad,32.0,3.6,1.0,38.0,14.14,22.33,19.876994,75.372353,19.966994,75.462353
118,1900-01-01 22:55:00,Sandstorms,Low,motorcycle,Metropolitian,Aurangabad,39.0,4.8,1.0,22.0,7.85,21.41,19.888716,75.321461,19.938716,75.371461
119,1900-01-01 21:55:00,Sandstorms,Jam,motorcycle,Metropolitian,Aurangabad,36.0,4.8,0.0,46.0,9.42,12.29,19.888716,75.321461,19.948716,75.381461
120,1900-01-01 22:00:00,Sandstorms,Jam,scooter,Metropolitian,Aurangabad,33.0,3.9,1.0,43.0,14.14,19.73,19.888716,75.321461,19.978716,75.411461
121,1900-01-01 22:30:00,Fog,Low,motorcycle,Metropolitian,Aurangabad,37.0,4.4,0.0,32.0,12.57,23.57,19.866969,75.318894,19.946969,75.398894
122,1900-01-01 10:30:00,Windy,Low,scooter,Urban,Aurangabad,28.0,4.7,0.0,18.0,3.14,10.47,19.866969,75.318894,19.886969,75.338894
123,1900-01-01 19:00:00,Fog,Medium,motorcycle,Metropolitian,Aurangabad,21.0,4.6,1.0,43.0,14.14,19.73,19.866969,75.318894,19.956969,75.408894
124,1900-01-01 20:15:00,Cloudy,Jam,motorcycle,Urban,Bangalore,20.0,5.0,1.0,30.0,14.54,29.08,12.933298,77.614293,13.043298,77.724293
125,1900-01-01 15:55:00,Sunny,Medium,scooter,Metropolitian,Bangalore,39.0,4.6,1.0,23.0,5.22,13.62,12.933298,77.614293,12.973298,77.654293
126,1900-01-01 12:00:00,Sunny,High,motorcycle,Metropolitian,Bangalore,32.0,4.8,0.0,24.0,1.3,3.25,12.933298,77.614293,12.943298,77.624293
127,1900-01-01 17:30:00,Windy,Medium,electric_scooter,Metropolitian,Bangalore,29.0,4.5,1.0,26.0,10.52,24.28,12.933298,77.614293,13.013298,77.694293
128,1900-01-01 23:40:00,Windy,Low,motorcycle,Metropolitian,Bangalore,36.0,4.8,0.0,22.0,6.54,17.84,12.933298,77.614293,12.983298,77.664293
129,1900-01-01 08:25:00,Cloudy,Low,scooter,Urban,Bangalore,23.0,4.8,1.0,18.0,2.6,8.67,12.933298,77.614293,12.953298,77.634293
130,1900-01-01 10:05:00,Cloudy,Low,scooter,Urban,Bangalore,30.0,4.7,0.0,18.0,2.6,8.67,12.933298,77.614293,12.953298,77.634293
131,1900-01-01 20:00:00,Windy,Jam,motorcycle,Metropolitian,Bangalore,27.0,4.8,1.0,27.0,10.52,23.38,12.933298,77.614293,13.013298,77.694293
132,1900-01-01 22:45:00,Fog,Low,motorcycle,Metropolitian,Bangalore,32.0,4.6,1.0,23.0,7.86,20.5,12.933298,77.614293,12.993298,77.674293
133,1900-01-01 22:15:00,Sandstorms,Low,motorcycle,Metropolitian,Bangalore,37.0,4.3,1.0,34.0,3.91,6.9,12.933298,77.614293,12.963298,77.644293
134,1900-01-01 18:25:00,Sandstorms,Medium,electric_scooter,Metropolitian,Bangalore,27.0,4.7,1.0,21.0,7.86,22.46,12.933298,77.614293,12.993298,77.674293
135,1900-01-01 09:30:00,Sandstorms,Low,motorcycle,Metropolitian,Bangalore,37.0,4.6,1.0,27.0,1.3,2.89,12.933284,77.615428,12.943284,77.625428
136,1900-01-01 13:25:00,Stormy,High,motorcycle,Metropolitian,Bangalore,37.0,4.1,2.0,43.0,5.23,7.3,12.933284,77.615428,12.973284,77.655428
137,1900-01-01 09:25:00,Cloudy,Low,motorcycle,Metropolitian,Bangalore,29.0,4.5,1.0,20.0,2.6,7.8,12.933284,77.615428,12.953284,77.635428
138,1900-01-01 17:25:00,Sunny,Medium,motorcycle,Urban,Bangalore,21.0,5.0,0.0,11.0,6.54,35.67,12.933284,77.615428,12.983284,77.665428
139,1900-01-01 12:00:00,Windy,High,motorcycle,Metropolitian,Bangalore,35.0,4.6,1.0,47.0,2.6,3.32,12.933284,77.615428,12.953284,77.635428
140,1900-01-01 22:05:00,Sandstorms,Jam,motorcycle,Metropolitian,Bangalore,26.0,4.2,1.0,39.0,17.25,26.54,12.933284,77.615428,13.063284,77.745428
141,1900-01-01 11:40:00,Cloudy,High,scooter,Metropolitian,Bangalore,22.0,5.0,0.0,25.0,2.6,6.24,12.933284,77.615428,12.953284,77.635428
142,1900-01-01 22:10:00,Stormy,Jam,motorcycle,Metropolitian,Bangalore,35.0,4.7,0.0,34.0,7.87,13.89,12.933284,77.615428,12.993284,77.675428
143,1900-01-01 20:30:00,Sandstorms,Jam,motorcycle,Metropolitian,Bangalore,29.0,4.9,1.0,25.0,11.86,28.46,12.933284,77.615428,13.023284,77.705428
144,1900-01-01 21:05:00,Sandstorms,Jam,motorcycle,Urban,Bangalore,22.0,4.9,1.0,23.0,7.87,20.53,12.933284,77.615428,12.993284,77.675428
145,1900-01-01 20:30:00,Cloudy,Jam,scooter,Metropolitian,Bangalore,33.0,4.3,2.0,45.0,11.86,15.81,12.933284,77.615428,13.023284,77.705428
146,1900-01-01 14:15:00,Sandstorms,High,motorcycle,Metropolitian,Bangalore,34.0,4.6,1.0,36.0,5.28,8.8,12.970221,77.645396,13.010221,77.685396
147,1900-01-01 16:40:00,Sandstorms,Medium,motorcycle,Metropolitian,Bangalore,27.0,5.0,1.0,26.0,5.28,12.18,12.970221,77.645396,13.010221,77.685396
148,1900-01-01 12:35:00,Sandstorms,High,electric_scooter,Metropolitian,Bangalore,27.0,5.0,1.0,27.0,5.28,11.73,12.970221,77.645396,13.010221,77.685396
149,1900-01-01 16:00:00,Stormy,Medium,motorcycle,Metropolitian,Bangalore,23.0,5.0,1.0,16.0,5.28,19.8,12.970221,77.645396,13.010221,77.685396
150,1900-01-01 18:50:00,Sunny,Medium,motorcycle,Metropolitian,Bangalore,39.0,4.6,1.0,22.0,9.29,25.34,12.970221,77.645396,13.040221,77.715396
151,1900-01-01 10:50:00,Fog,Low,scooter,Urban,Bangalore,20.0,4.6,0.0,14.0,2.63,11.27,12.970221,77.645396,12.990221,77.665396
152,1900-01-01 18:10:00,Sunny,Medium,scooter,Metropolitian,Bangalore,20.0,4.7,0.0,14.0,17.43,74.7,12.970221,77.645396,13.100221,77.775396
153,1900-01-01 19:35:00,Stormy,Jam,motorcycle,Urban,Bangalore,34.0,4.8,1.0,38.0,10.63,16.78,12.970221,77.645396,13.050221,77.725396
154,1900-01-01 18:10:00,Sunny,Medium,scooter,Metropolitian,Bangalore,20.0,4.7,0.0,14.0,17.43,74.7,12.970221,77.645396,13.100221,77.775396
155,1900-01-01 19:20:00,Sunny,Jam,motorcycle,Metropolitian,Bangalore,37.0,4.8,0.0,21.0,7.95,22.71,12.970221,77.645396,13.030221,77.705396
156,1900-01-01 22:55:00,Sandstorms,Low,motorcycle,Metropolitian,Bangalore,37.0,4.8,1.0,22.0,3.95,10.77,12.970221,77.645396,13.000221,77.675396
157,1900-01-01 19:10:00,Cloudy,Medium,electric_scooter,Metropolitian,Bangalore,20.0,4.1,1.0,36.0,9.27,15.45,12.979166,77.640709,13.049166,77.710709
158,1900-01-01 17:50:00,Sandstorms,Medium,motorcycle,Metropolitian,Bangalore,39.0,4.2,1.0,47.0,9.27,11.83,12.979166,77.640709,13.049166,77.710709
159,1900-01-01 09:05:00,Stormy,Low,scooter,Metropolitian,Bangalore,38.0,4.5,1.0,20.0,1.31,3.93,12.979166,77.640709,12.989166,77.650709
160,1900-01-01 12:10:00,Cloudy,High,electric_scooter,Metropolitian,Bangalore,33.0,4.9,1.0,28.0,2.63,5.64,12.979166,77.640709,12.999166,77.660709
161,1900-01-01 20:50:00,Sunny,Jam,scooter,Metropolitian,Bangalore,34.0,4.8,0.0,22.0,7.94,21.65,12.979166,77.640709,13.039166,77.700709
162,1900-01-01 22:15:00,Stormy,Low,motorcycle,Metropolitian,Bangalore,28.0,4.0,1.0,29.0,7.94,16.43,12.979166,77.640709,13.039166,77.700709
163,1900-01-01 20:25:00,Sunny,Jam,motorcycle,Metropolitian,Bangalore,24.0,4.6,1.0,23.0,14.67,38.27,12.98041,77.640489,13.09041,77.750489
164,1900-01-01 10:50:00,Stormy,Low,motorcycle,Metropolitian,Bangalore,24.0,4.0,1.0,18.0,1.31,4.37,12.98041,77.640489,12.99041,77.650489
165,1900-01-01 19:35:00,Windy,Jam,motorcycle,Metropolitian,Bangalore,28.0,4.7,1.0,24.0,14.67,36.67,12.98041,77.640489,13.09041,77.750489
166,1900-01-01 20:45:00,Stormy,Jam,motorcycle,Urban,Bangalore,29.0,4.7,1.0,26.0,14.67,33.85,12.98041,77.640489,13.09041,77.750489
168,1900-01-01 22:10:00,Stormy,Jam,motorcycle,Metropolitian,Bangalore,21.0,4.8,0.0,29.0,10.62,21.97,12.98041,77.640489,13.06041,77.720489
169,1900-01-01 18:25:00,Sunny,Medium,electric_scooter,Metropolitian,Bangalore,22.0,4.9,1.0,19.0,10.62,33.54,12.98041,77.640489,13.06041,77.720489
170,1900-01-01 18:50:00,Stormy,Medium,motorcycle,Urban,Bangalore,33.0,3.8,2.0,37.0,11.96,19.39,12.98041,77.640489,13.07041,77.730489
171,1900-01-01 20:55:00,Stormy,Jam,motorcycle,Metropolitian,Bangalore,31.0,4.6,1.0,30.0,3.95,7.9,12.98041,77.640489,13.01041,77.670489
172,1900-01-01 18:30:00,Cloudy,Medium,motorcycle,Metropolitian,Bangalore,26.0,4.7,1.0,18.0,7.93,26.43,12.98041,77.640489,13.04041,77.700489
174,1900-01-01 11:10:00,Sandstorms,Low,motorcycle,Metropolitian,Bangalore,25.0,4.3,0.0,25.0,1.31,3.14,12.970324,77.645748,12.980324,77.655748
175,1900-01-01 23:20:00,Windy,Low,motorcycle,Metropolitian,Bangalore,38.0,4.6,1.0,25.0,9.29,22.3,12.970324,77.645748,13.040324,77.715748
176,1900-01-01 21:50:00,Stormy,Jam,motorcycle,Metropolitian,Bangalore,38.0,4.8,2.0,39.0,14.7,22.62,12.970324,77.645748,13.080324,77.755748
177,1900-01-01 18:25:00,Stormy,Medium,scooter,Metropolitian,Bangalore,38.0,4.7,0.7592242194891201,26.0,6.61,15.25,12.970324,77.645748,13.020324,77.695748
178,1900-01-01 10:20:00,Sandstorms,Low,motorcycle,Metropolitian,Bangalore,30.0,4.2,0.0,28.0,2.63,5.64,12.970324,77.645748,12.990324,77.665748
179,1900-01-01 20:05:00,Fog,Jam,motorcycle,Metropolitian,Bangalore,28.0,4.8,2.0,37.0,10.64,17.25,12.970324,77.645748,13.050324,77.725748
180,1900-01-01 10:55:00,Sunny,Low,electric_scooter,Metropolitian,Bangalore,28.0,4.8,1.0,23.0,2.63,6.86,12.970324,77.645748,12.990324,77.665748
181,1900-01-01 22:40:00,Sandstorms,Low,motorcycle,Metropolitian,Bangalore,28.0,4.8,1.0,18.0,6.61,22.03,12.970324,77.645748,13.020324,77.695748
182,1900-01-01 17:30:00,Sunny,Medium,motorcycle,Urban,Bangalore,34.0,4.5,1.0,28.0,10.64,22.8,12.970324,77.645748,13.050324,77.725748
183,1900-01-01 20:30:00,Cloudy,Jam,scooter,Urban,Bangalore,25.0,4.2,1.0,31.0,10.64,20.59,12.970324,77.645748,13.050324,77.725748
184,1900-01-01 08:30:00,Fog,Low,motorcycle,Metropolitian,Bangalore,22.0,5.0,0.0,22.0,2.63,7.17,12.970324,77.645748,12.990324,77.665748
185,1900-01-01 17:20:00,Sandstorms,Medium,scooter,Metropolitian,Bangalore,34.0,3.5,1.0,38.0,14.67,23.16,12.979096,77.640625,13.089096,77.750625
186,1900-01-01 09:45:00,Fog,Low,motorcycle,Urban,Bangalore,35.0,4.6,1.0,25.0,1.31,3.14,12.979096,77.640625,12.989096,77.650625
187,1900-01-01 10:25:00,Cloudy,Low,scooter,Urban,Bangalore,27.0,5.0,0.7592242194891201,10.0,1.31,7.86,12.979096,77.640625,12.989096,77.650625
188,1900-01-01 17:30:00,Sandstorms,Medium,scooter,Urban,Bangalore,25.0,4.8,1.0,24.0,6.6,16.5,12.979096,77.640625,13.029096,77.690625
189,1900-01-01 20:25:00,Stormy,Jam,scooter,Metropolitian,Bangalore,29.0,4.9,0.0,21.0,11.97,34.2,12.979096,77.640625,13.069096,77.730625
190,1900-01-01 16:20:00,Windy,Medium,scooter,Metropolitian,Bangalore,30.0,4.5,0.0,25.0,5.28,12.67,12.978453,77.643685,13.018453,77.683685
191,1900-01-01 09:15:00,Sandstorms,Low,motorcycle,Urban,Bangalore,32.0,4.5,1.0,27.0,2.63,5.84,12.978453,77.643685,12.998453,77.663685
192,1900-01-01 18:25:00,Cloudy,Medium,scooter,Urban,Bangalore,29.0,4.6,0.0,14.0,3.95,16.93,12.978453,77.643685,13.008453,77.673685
194,1900-01-01 20:15:00,Sandstorms,Jam,motorcycle,Urban,Bangalore,22.0,4.6,1.0,39.0,14.45,22.23,12.906229,77.596791,13.016229,77.706791
